killi_prot	gene_id	ensembl_gene_id	Human_Gene_Symbol
KAF7198714.1	G4P62_020223	ENSG00000171720	HDAC3
KAF7198715.1	G4P62_020019	ENSG00000133321	PLAAT4
KAF7198716.1	G4P62_020019	ENSG00000133321	PLAAT4
KAF7198717.1	G4P62_020019	ENSG00000133321	PLAAT4
KAF7198718.1	G4P62_020019	ENSG00000133321	PLAAT4
KAF7198719.1	G4P62_019259	ENSG00000130038	CRACR2A
KAF7198720.1	G4P62_019259	ENSG00000130038	CRACR2A
KAF7198721.1	G4P62_019482	ENSG00000130038	CRACR2A
KAF7198722.1	G4P62_018179	ENSG00000162604	TM2D1
KAF7198723.1	G4P62_019666	ENSG00000197070	ARRDC1
KAF7198724.1	G4P62_008781	ENSG00000174332	GLIS1
KAF7198725.1	G4P62_008781	ENSG00000174332	GLIS1
KAF7198726.1	G4P62_004266	ENSG00000143727	ACP1
KAF7198727.1	G4P62_004266	ENSG00000143727	ACP1
KAF7198728.1	G4P62_004267	ENSG00000189292	ALKAL2
KAF7198729.1	G4P62_004267	ENSG00000189292	ALKAL2
KAF7198731.1	G4P62_015008	ENSG00000168269	FOXI1
KAF7198732.1	G4P62_019445	ENSG00000214717	ZBED1
KAF7198733.1	G4P62_019718	ENSG00000177469	CAVIN1
KAF7198734.1	G4P62_020058	ENSG00000033627	ATP6V0A1
KAF7198735.1	G4P62_020058	ENSG00000033627	ATP6V0A1
KAF7198736.1	G4P62_019513	ENSG00000265972	TXNIP
KAF7198737.1	G4P62_018018	ENSG00000100577	GSTZ1
KAF7198738.1	G4P62_019405	ENSG00000100577	GSTZ1
KAF7198739.1	G4P62_001374	ENSG00000197694	SPTAN1
KAF7198740.1	G4P62_011413	ENSG00000180423	HARBI1
KAF7198741.1	G4P62_004842	ENSG00000125733	TRIP10
KAF7198743.1	G4P62_019376	ENSG00000071539	TRIP13
KAF7198744.1	G4P62_020047	ENSG00000169856	ONECUT1
KAF7198745.1	G4P62_020047	ENSG00000169856	ONECUT1
KAF7198747.1	G4P62_020144	ENSG00000180787	ZFP3
KAF7198748.1	G4P62_020093	ENSG00000055118	KCNH2
KAF7198749.1	G4P62_018614	ENSG00000170419	VSTM2A
KAF7198750.1	G4P62_008635	ENSG00000197694	SPTAN1
KAF7198751.1	G4P62_008635	ENSG00000197694	SPTAN1
KAF7198752.1	G4P62_011253	ENSG00000197694	SPTAN1
KAF7198753.1	G4P62_011253	ENSG00000197694	SPTAN1
KAF7198754.1	G4P62_018391	ENSG00000163075	CFAP221
KAF7198756.1	G4P62_019644	ENSG00000153404	PLEKHG4B
KAF7198757.1	G4P62_019544	ENSG00000152380	FAM151B
KAF7198758.1	G4P62_020206	ENSG00000113387	SUB1
KAF7198759.1	G4P62_017628	ENSG00000157927	RADIL
KAF7198760.1	G4P62_017628	ENSG00000157927	RADIL
KAF7198761.1	G4P62_019809	ENSG00000108669	CYTH1
KAF7198762.1	G4P62_019810	ENSG00000133477	FAM83F
KAF7198763.1	G4P62_019811	ENSG00000100351	GRAP2
KAF7198764.1	G4P62_006296	ENSG00000248098	BCKDHA
KAF7198765.1	G4P62_006297	ENSG00000170340	B3GNT2
KAF7198766.1	G4P62_019667	ENSG00000139318	DUSP6
KAF7198767.1	G4P62_018025	ENSG00000181555	SETD2
KAF7198768.1	G4P62_019442	ENSG00000152689	RASGRP3
KAF7198769.1	G4P62_015430	ENSG00000142541	RPL13A
KAF7198770.1	G4P62_015431	ENSG00000285390	ATP5IF1
KAF7198771.1	G4P62_015432	ENSG00000084073	ZMPSTE24
KAF7198773.1	G4P62_019023	ENSG00000182156	ENPP7
KAF7198774.1	G4P62_019024	ENSG00000173894	CBX2
KAF7198775.1	G4P62_019025	ENSG00000183691	NOG
KAF7198776.1	G4P62_019484	ENSG00000131781	FMO5
KAF7198778.1	G4P62_018661	ENSG00000119535	CSF3R
KAF7198779.1	G4P62_018661	ENSG00000119535	CSF3R
KAF7198781.1	G4P62_020175	ENSG00000121060	TRIM25
KAF7198782.1	G4P62_020175	ENSG00000121060	TRIM25
KAF7198783.1	G4P62_017843	ENSG00000232040	ZBED9
KAF7198784.1	G4P62_019872	ENSG00000167984	NLRC3
KAF7198785.1	G4P62_019872	ENSG00000167984	NLRC3
KAF7198786.1	G4P62_018686	ENSG00000148948	LRRC4C
KAF7198787.1	G4P62_019511	ENSG00000161610	HCRT
KAF7198788.1	G4P62_019555	ENSG00000112038	OPRM1
KAF7198789.1	G4P62_018021	ENSG00000086712	TXLNG
KAF7198790.1	G4P62_007196	ENSG00000148935	GAS2
KAF7198791.1	G4P62_007197	ENSG00000261115	TMEM178B
KAF7198792.1	G4P62_004515	ENSG00000126822	PLEKHG3
KAF7198793.1	G4P62_004515	ENSG00000126822	PLEKHG3
KAF7198794.1	G4P62_004515	ENSG00000126822	PLEKHG3
KAF7198795.1	G4P62_004515	ENSG00000126822	PLEKHG3
KAF7198796.1	G4P62_004515	ENSG00000126822	PLEKHG3
KAF7198797.1	G4P62_004515	ENSG00000126822	PLEKHG3
KAF7198798.1	G4P62_004515	ENSG00000126822	PLEKHG3
KAF7198799.1	G4P62_004519	ENSG00000165985	C1QL3
KAF7198800.1	G4P62_019263	ENSG00000170214	ADRA1B
KAF7198801.1	G4P62_020113	ENSG00000089041	P2RX7
KAF7198802.1	G4P62_020114	ENSG00000170214	ADRA1B
KAF7198803.1	G4P62_019349	ENSG00000164796	CSMD3
KAF7198804.1	G4P62_019437	ENSG00000164796	CSMD3
KAF7198805.1	G4P62_018117	ENSG00000082196	C1QTNF3
KAF7198806.1	G4P62_018117	ENSG00000082196	C1QTNF3
KAF7198808.1	G4P62_018117	ENSG00000186897	C1QL4
KAF7198809.1	G4P62_018117	ENSG00000186897	C1QL4
KAF7198810.1	G4P62_018117	ENSG00000186897	C1QL4
KAF7198811.1	G4P62_018117	ENSG00000186897	C1QL4
KAF7198812.1	G4P62_018117	ENSG00000186897	C1QL4
KAF7198813.1	G4P62_018117	ENSG00000144810	COL8A1
KAF7198814.1	G4P62_018117	ENSG00000144810	COL8A1
KAF7198815.1	G4P62_018117	ENSG00000144810	COL8A1
KAF7198816.1	G4P62_010604	ENSG00000163884	KLF15
KAF7198817.1	G4P62_010605	ENSG00000069275	NUCKS1
KAF7198819.1	G4P62_015804	ENSG00000117151	CTBS
KAF7198822.1	G4P62_020018	ENSG00000161999	JMJD8
KAF7198823.1	G4P62_003106	ENSG00000198964	SGMS1
KAF7198824.1	G4P62_001320	ENSG00000056291	NPFFR2
KAF7198825.1	G4P62_001320	ENSG00000056291	NPFFR2
KAF7198826.1	G4P62_008484	ENSG00000141759	TXNL4A
KAF7198827.1	G4P62_019161	ENSG00000174514	MFSD4A
KAF7198828.1	G4P62_019161	ENSG00000174514	MFSD4A
KAF7198829.1	G4P62_019161	ENSG00000174514	MFSD4A
KAF7198830.1	G4P62_019162	ENSG00000158711	ELK4
KAF7198831.1	G4P62_019162	ENSG00000158711	ELK4
KAF7198832.1	G4P62_019162	ENSG00000158711	ELK4
KAF7198833.1	G4P62_019162	ENSG00000158711	ELK4
KAF7198835.1	G4P62_014486	ENSG00000157445	CACNA2D3
KAF7198836.1	G4P62_014487	ENSG00000144771	LRTM1
KAF7198837.1	G4P62_020024	ENSG00000243156	MICAL3
KAF7198839.1	G4P62_019978	ENSG00000122585	NPY
KAF7198840.1	G4P62_019979	ENSG00000260325	HSPB9
KAF7198841.1	G4P62_017792	ENSG00000122565	CBX3
KAF7198842.1	G4P62_017792	ENSG00000122565	CBX3
KAF7198843.1	G4P62_017793	ENSG00000086300	SNX10
KAF7198844.1	G4P62_017793	ENSG00000086300	SNX10
KAF7198845.1	G4P62_017793	ENSG00000086300	SNX10
KAF7198846.1	G4P62_009804	ENSG00000164949	GEM
KAF7198847.1	G4P62_017637	ENSG00000025800	KPNA6
KAF7198848.1	G4P62_017638	ENSG00000084652	TXLNA
KAF7198849.1	G4P62_017639	ENSG00000084623	EIF3I
KAF7198850.1	G4P62_018979	ENSG00000175130	MARCKSL1
KAF7198851.1	G4P62_018980	ENSG00000196591	HDAC2
KAF7198852.1	G4P62_018981	ENSG00000084623	EIF3I
KAF7198853.1	G4P62_020145	ENSG00000182141	ZNF708
KAF7198854.1	G4P62_019297	ENSG00000162344	FGF19
KAF7198855.1	G4P62_019297	ENSG00000162344	FGF19
KAF7198856.1	G4P62_019292	ENSG00000165757	JCAD
KAF7198857.1	G4P62_019929	ENSG00000165757	JCAD
KAF7198858.1	G4P62_019929	ENSG00000165757	JCAD
KAF7198859.1	G4P62_019514	ENSG00000102096	PIM2
KAF7198860.1	G4P62_000524	ENSG00000214717	ZBED1
KAF7198861.1	G4P62_020177	ENSG00000170915	PAQR8
KAF7198862.1	G4P62_003257	ENSG00000153930	ANKFN1
KAF7198863.1	G4P62_005043	ENSG00000109066	TMEM104
KAF7198864.1	G4P62_018106	ENSG00000109066	TMEM104
KAF7198865.1	G4P62_018106	ENSG00000109066	TMEM104
KAF7198866.1	G4P62_018107	ENSG00000166736	HTR3A
KAF7198867.1	G4P62_018108	ENSG00000182173	TSEN54
KAF7198868.1	G4P62_018108	ENSG00000182173	TSEN54
KAF7198869.1	G4P62_018109	ENSG00000132693	CRP
KAF7198870.1	G4P62_018109	ENSG00000132693	CRP
KAF7198871.1	G4P62_019041	ENSG00000283630	FRG1
KAF7198872.1	G4P62_008621	ENSG00000106031	HOXA13
KAF7198873.1	G4P62_008622	ENSG00000106038	EVX1
KAF7198874.1	G4P62_008623	ENSG00000106049	HIBADH
KAF7198875.1	G4P62_017939	ENSG00000106052	TAX1BP1
KAF7198876.1	G4P62_017939	ENSG00000106052	TAX1BP1
KAF7198877.1	G4P62_017940	ENSG00000153814	JAZF1
KAF7198878.1	G4P62_019773	ENSG00000106049	HIBADH
KAF7198879.1	G4P62_019774	ENSG00000106031	HOXA13
KAF7198880.1	G4P62_019775	ENSG00000123388	HOXC11
KAF7198881.1	G4P62_019776	ENSG00000253293	HOXA10
KAF7198882.1	G4P62_019777	ENSG00000078399	HOXA9
KAF7198885.1	G4P62_012297	ENSG00000100138	SNU13
KAF7198886.1	G4P62_012298	ENSG00000140740	UQCRC2
KAF7198887.1	G4P62_017877	ENSG00000189403	HMGB1
KAF7198890.1	G4P62_019526	ENSG00000236177	HLA-DPA1
KAF7198891.1	G4P62_004024	ENSG00000133030	MPRIP
KAF7198892.1	G4P62_004024	ENSG00000133030	MPRIP
KAF7198893.1	G4P62_004024	ENSG00000133030	MPRIP
KAF7198894.1	G4P62_004024	ENSG00000133030	MPRIP
KAF7198895.1	G4P62_019306	ENSG00000184544	DHRS7C
KAF7198896.1	G4P62_019306	ENSG00000184544	DHRS7C
KAF7198897.1	G4P62_001974	ENSG00000110876	SELPLG
KAF7198898.1	G4P62_001974	ENSG00000110876	SELPLG
KAF7198900.1	G4P62_000991	ENSG00000133639	BTG1
KAF7198901.1	G4P62_000705	ENSG00000023734	STRAP
KAF7198902.1	G4P62_004922	ENSG00000060982	BCAT1
KAF7198903.1	G4P62_005053	ENSG00000160799	CCDC12
KAF7198906.1	G4P62_019230	ENSG00000051341	POLQ
KAF7198907.1	G4P62_004258	ENSG00000185155	MIXL1
KAF7198909.1	G4P62_020079	ENSG00000164938	TP53INP1
KAF7198910.1	G4P62_020080	ENSG00000131943	C19orf12
KAF7198911.1	G4P62_020080	ENSG00000131943	C19orf12
KAF7198912.1	G4P62_020080	ENSG00000131943	C19orf12
KAF7198913.1	G4P62_019914	ENSG00000197587	DMBX1
KAF7198914.1	G4P62_016850	ENSG00000182168	UNC5C
KAF7198915.1	G4P62_019590	ENSG00000164164	OTUD4
KAF7198916.1	G4P62_019858	ENSG00000185385	OR7A17
KAF7198918.1	G4P62_003894	ENSG00000137145	DENND4C
KAF7198919.1	G4P62_017959	ENSG00000171735	CAMTA1
KAF7198920.1	G4P62_019604	ENSG00000274619	CFD
KAF7198921.1	G4P62_019604	ENSG00000274619	CFD
KAF7198922.1	G4P62_000142	ENSG00000214717	ZBED1
KAF7198923.1	G4P62_003434	ENSG00000090447	TFAP4
KAF7198924.1	G4P62_003434	ENSG00000090447	TFAP4
KAF7198925.1	G4P62_008371	ENSG00000166147	FBN1
KAF7198928.1	G4P62_009163	ENSG00000167491	GATAD2A
KAF7198929.1	G4P62_009163	ENSG00000167491	GATAD2A
KAF7198930.1	G4P62_009163	ENSG00000167491	GATAD2A
KAF7198931.1	G4P62_009163	ENSG00000167491	GATAD2A
KAF7198932.1	G4P62_009164	ENSG00000186010	NDUFA13
KAF7198933.1	G4P62_009165	ENSG00000099622	CIRBP
KAF7198934.1	G4P62_009165	ENSG00000099622	CIRBP
KAF7198935.1	G4P62_009166	ENSG00000167470	MIDN
KAF7198936.1	G4P62_005062	ENSG00000274247	PRSS1
KAF7198937.1	G4P62_017802	ENSG00000124782	RREB1
KAF7198940.1	G4P62_005800	ENSG00000154803	FLCN
KAF7198941.1	G4P62_008497	ENSG00000079819	EPB41L2
KAF7198942.1	G4P62_013910	ENSG00000204262	COL5A2
KAF7198943.1	G4P62_019685	ENSG00000117598	PLPPR5
KAF7198944.1	G4P62_014416	ENSG00000178401	DNAJC22
KAF7198946.1	G4P62_019491	ENSG00000153531	ADPRHL1
KAF7198947.1	G4P62_008787	ENSG00000137955	RABGGTB
KAF7198948.1	G4P62_019817	ENSG00000205978	NYNRIN
KAF7198949.1	G4P62_006686	ENSG00000095139	ARCN1
KAF7198950.1	G4P62_020245	ENSG00000170264	FAM161A
KAF7198951.1	G4P62_020245	ENSG00000170264	FAM161A
KAF7198954.1	G4P62_004861	ENSG00000284931	
KAF7198955.1	G4P62_002703	ENSG00000163171	CDC42EP3
KAF7198956.1	G4P62_019235	ENSG00000142156	COL6A1
KAF7198957.1	G4P62_019399	ENSG00000133661	SFTPD
KAF7198958.1	G4P62_019400	ENSG00000142156	COL6A1
KAF7198959.1	G4P62_015515	ENSG00000137193	PIM1
KAF7198960.1	G4P62_019233	ENSG00000131781	FMO5
KAF7198961.1	G4P62_019860	ENSG00000076258	FMO4
KAF7198963.1	G4P62_003205	ENSG00000108671	PSMD11
KAF7198964.1	G4P62_018224	ENSG00000145723	GIN1
KAF7198965.1	G4P62_019466	ENSG00000135736	CCDC102A
KAF7198966.1	G4P62_000784	ENSG00000226437	TRIM39
KAF7198967.1	G4P62_012629	ENSG00000104043	ATP8B4
KAF7198969.1	G4P62_008726	ENSG00000108100	CCNY
KAF7198970.1	G4P62_008727	ENSG00000166523	CLEC4E
KAF7198971.1	G4P62_010819	ENSG00000099994	SUSD2
KAF7198973.1	G4P62_019512	ENSG00000101246	ARFRP1
KAF7198974.1	G4P62_007858	ENSG00000288239	C19orf67
KAF7198975.1	G4P62_007858	ENSG00000288239	C19orf67
KAF7198976.1	G4P62_019551	ENSG00000111801	BTN3A3
KAF7198977.1	G4P62_019551	ENSG00000111801	BTN3A3
KAF7198978.1	G4P62_020231	ENSG00000111801	BTN3A3
KAF7198979.1	G4P62_019452	ENSG00000100426	ZBED4
KAF7198980.1	G4P62_016885	ENSG00000214717	ZBED1
KAF7198983.1	G4P62_019728	ENSG00000118579	MED28
KAF7198984.1	G4P62_019729	ENSG00000002549	LAP3
KAF7198985.1	G4P62_019730	ENSG00000249581	CLRN2
KAF7198986.1	G4P62_014747	ENSG00000169914	OTUD3
KAF7198987.1	G4P62_014747	ENSG00000169914	OTUD3
KAF7198988.1	G4P62_009685	ENSG00000086289	EPDR1
KAF7198989.1	G4P62_016625	ENSG00000147439	BIN3
KAF7198991.1	G4P62_004866	ENSG00000130656	HBZ
KAF7198992.1	G4P62_007784	ENSG00000184678	H2BC21
KAF7198993.1	G4P62_019493	ENSG00000105171	POP4
KAF7198994.1	G4P62_006761	ENSG00000205542	TMSB4X
KAF7198995.1	G4P62_014401	ENSG00000123307	NEUROD4
KAF7198996.1	G4P62_019545	ENSG00000221888	OR1C1
KAF7198997.1	G4P62_019546	ENSG00000284949	OR2A12
KAF7198998.1	G4P62_006107	ENSG00000184047	DIABLO
KAF7198999.1	G4P62_006107	ENSG00000184047	DIABLO
KAF7199000.1	G4P62_006107	ENSG00000184047	DIABLO
KAF7199001.1	G4P62_006107	ENSG00000184047	DIABLO
KAF7199002.1	G4P62_005752	ENSG00000158042	MRPL17
KAF7199003.1	G4P62_006757	ENSG00000046653	GPM6B
KAF7199004.1	G4P62_006759	ENSG00000123595	RAB9A
KAF7199005.1	G4P62_006759	ENSG00000123595	RAB9A
KAF7199006.1	G4P62_006759	ENSG00000123595	RAB9A
KAF7199007.1	G4P62_006759	ENSG00000123595	RAB9A
KAF7199008.1	G4P62_018807	ENSG00000183808	RBM12B
KAF7199009.1	G4P62_018807	ENSG00000183808	RBM12B
KAF7199010.1	G4P62_018807	ENSG00000278468	MUC4
KAF7199011.1	G4P62_018807	ENSG00000183808	RBM12B
KAF7199012.1	G4P62_006198	ENSG00000036828	CASR
KAF7199013.1	G4P62_006199	ENSG00000036828	CASR
KAF7199014.1	G4P62_008561	ENSG00000127995	CASD1
KAF7199015.1	G4P62_008561	ENSG00000127995	CASD1
KAF7199016.1	G4P62_019540	ENSG00000183808	RBM12B
KAF7199017.1	G4P62_019911	ENSG00000131781	FMO5
KAF7199018.1	G4P62_018151	ENSG00000243232	PCDHAC2
KAF7199019.1	G4P62_018152	ENSG00000204969	PCDHA2
KAF7199020.1	G4P62_015283	ENSG00000121858	TNFSF10
KAF7199021.1	G4P62_015283	ENSG00000121858	TNFSF10
KAF7199022.1	G4P62_019530	ENSG00000162144	CYB561A3
KAF7199023.1	G4P62_019469	ENSG00000283085	TPBG
KAF7199024.1	G4P62_010948	ENSG00000102230	PCYT1B
KAF7199025.1	G4P62_005331	ENSG00000181274	FRAT2
KAF7199026.1	G4P62_005332	ENSG00000160679	CHTOP
KAF7199028.1	G4P62_005636	ENSG00000234906	APOC2
KAF7199029.1	G4P62_005636	ENSG00000234906	APOC2
KAF7199030.1	G4P62_015163	ENSG00000117394	SLC2A1
KAF7199031.1	G4P62_015163	ENSG00000117394	SLC2A1
KAF7199034.1	G4P62_019496	ENSG00000178691	SUZ12
KAF7199036.1	G4P62_019229	ENSG00000155592	ZKSCAN2
KAF7199037.1	G4P62_006047	ENSG00000168010	ATG16L2
KAF7199038.1	G4P62_005797	ENSG00000179604	CDC42EP4
KAF7199039.1	G4P62_010599	ENSG00000124203	ZNF831
KAF7199040.1	G4P62_010599	ENSG00000124203	ZNF831
KAF7199041.1	G4P62_016623	ENSG00000102178	UBL4A
KAF7199042.1	G4P62_016624	ENSG00000185532	PRKG1
KAF7199043.1	G4P62_016624	ENSG00000185532	PRKG1
KAF7199045.1	G4P62_019620	ENSG00000143819	EPHX1
KAF7199047.1	G4P62_019857	ENSG00000279566	ZNF43
KAF7199048.1	G4P62_020222	ENSG00000159640	ACE
KAF7199049.1	G4P62_019567	ENSG00000136240	KDELR2
KAF7199050.1	G4P62_019567	ENSG00000136240	KDELR2
KAF7199051.1	G4P62_014149	ENSG00000164736	SOX17
KAF7199052.1	G4P62_016030	ENSG00000152582	SPEF2
KAF7199053.1	G4P62_015284	ENSG00000144959	NCEH1
KAF7199056.1	G4P62_019516	ENSG00000260314	MRC1
KAF7199057.1	G4P62_019866	ENSG00000058453	CROCC
KAF7199058.1	G4P62_019866	ENSG00000058453	CROCC
KAF7199059.1	G4P62_018712	ENSG00000101187	SLCO4A1
KAF7199060.1	G4P62_019892	ENSG00000145244	CORIN
KAF7199061.1	G4P62_019892	ENSG00000145244	CORIN
KAF7199062.1	G4P62_019433	ENSG00000147118	ZNF182
KAF7199063.1	G4P62_019443	ENSG00000198721	ECI2
KAF7199064.1	G4P62_019443	ENSG00000198721	ECI2
KAF7199065.1	G4P62_019443	ENSG00000198721	ECI2
KAF7199066.1	G4P62_019444	ENSG00000196584	XRCC2
KAF7199067.1	G4P62_018036	ENSG00000143776	CDC42BPA
KAF7199068.1	G4P62_019266	ENSG00000103546	SLC6A2
KAF7199069.1	G4P62_006585	ENSG00000173581	CCDC106
KAF7199070.1	G4P62_019649	ENSG00000173581	CCDC106
KAF7199071.1	G4P62_018869	ENSG00000105695	MAG
KAF7199072.1	G4P62_018870	ENSG00000108094	CUL2
KAF7199073.1	G4P62_019507	ENSG00000137288	UQCC2
KAF7199074.1	G4P62_008525	ENSG00000171243	SOSTDC1
KAF7199075.1	G4P62_012253	ENSG00000143228	NUF2
KAF7199076.1	G4P62_006572	ENSG00000135900	MRPL44
KAF7199077.1	G4P62_006574	ENSG00000168958	MFF
KAF7199078.1	G4P62_006574	ENSG00000168958	MFF
KAF7199079.1	G4P62_019670	ENSG00000175221	MED16
KAF7199080.1	G4P62_019558	ENSG00000180423	HARBI1
KAF7199081.1	G4P62_011013	ENSG00000169908	TM4SF1
KAF7199082.1	G4P62_019624	ENSG00000167306	MYO5B
KAF7199083.1	G4P62_020105	ENSG00000168701	TMEM208
KAF7199084.1	G4P62_020106	ENSG00000143570	SLC39A1
KAF7199085.1	G4P62_019298	ENSG00000036828	CASR
KAF7199087.1	G4P62_008608	ENSG00000105954	NPVF
KAF7199088.1	G4P62_020081	ENSG00000185985	SLITRK2
KAF7199089.1	G4P62_019352	ENSG00000115415	STAT1
KAF7199090.1	G4P62_019674	ENSG00000134216	CHIA
KAF7199091.1	G4P62_019675	ENSG00000134216	CHIA
KAF7199092.1	G4P62_017621	ENSG00000136010	ALDH1L2
KAF7199093.1	G4P62_010603	ENSG00000184677	ZBTB40
KAF7199094.1	G4P62_018153	ENSG00000240184	PCDHGC3
KAF7199095.1	G4P62_018154	ENSG00000255408	PCDHA3
KAF7199096.1	G4P62_018155	ENSG00000204962	PCDHA8
KAF7199097.1	G4P62_018156	ENSG00000204962	PCDHA8
KAF7199098.1	G4P62_020090	ENSG00000011422	PLAUR
KAF7199099.1	G4P62_020020	ENSG00000113389	NPR3
KAF7199100.1	G4P62_020153	ENSG00000157703	SVOPL
KAF7199101.1	G4P62_016342	ENSG00000053747	LAMA3
KAF7199103.1	G4P62_014127	ENSG00000168268	NT5DC2
KAF7199104.1	G4P62_008848	ENSG00000137077	CCL21
KAF7199105.1	G4P62_001471	ENSG00000284468	SLC25A24
KAF7199106.1	G4P62_001471	ENSG00000284468	SLC25A24
KAF7199107.1	G4P62_013101	ENSG00000189431	RASSF10
KAF7199108.1	G4P62_010559	ENSG00000011028	MRC2
KAF7199109.1	G4P62_010560	ENSG00000132825	PPP1R3D
KAF7199110.1	G4P62_015792	ENSG00000188897	
KAF7199111.1	G4P62_013915	ENSG00000182405	PGBD4
KAF7199112.1	G4P62_016936	ENSG00000165244	ZNF367
KAF7199113.1	G4P62_016937	ENSG00000130958	SLC35D2
KAF7199114.1	G4P62_020214	ENSG00000036828	CASR
KAF7199115.1	G4P62_020215	ENSG00000036828	CASR
KAF7199116.1	G4P62_007585	ENSG00000103061	SLC7A6OS
KAF7199117.1	G4P62_010982	ENSG00000003096	KLHL13
KAF7199118.1	G4P62_010982	ENSG00000003096	KLHL13
KAF7199119.1	G4P62_010982	ENSG00000003096	KLHL13
KAF7199120.1	G4P62_013215	ENSG00000130035	GALNT8
KAF7199121.1	G4P62_015010	ENSG00000143867	OSR1
KAF7199122.1	G4P62_015010	ENSG00000143867	OSR1
KAF7199123.1	G4P62_015010	ENSG00000143867	OSR1
KAF7199124.1	G4P62_005124	ENSG00000102897	LYRM1
KAF7199125.1	G4P62_016105	ENSG00000275349	SMN1
KAF7199126.1	G4P62_005071	ENSG00000109906	ZBTB16
KAF7199127.1	G4P62_013580	ENSG00000143158	MPC2
KAF7199131.1	G4P62_003066	ENSG00000154478	GPR26
KAF7199132.1	G4P62_000304	ENSG00000204962	PCDHA8
KAF7199133.1	G4P62_003160	ENSG00000150722	PPP1R1C
KAF7199134.1	G4P62_009461	ENSG00000179178	TMEM125
KAF7199135.1	G4P62_019501	ENSG00000143033	MTF2
KAF7199136.1	G4P62_017616	ENSG00000182378	PLCXD1
KAF7199137.1	G4P62_014660	ENSG00000167588	GPD1
KAF7199138.1	G4P62_010906	ENSG00000141378	PTRH2
KAF7199139.1	G4P62_018342	ENSG00000116132	PRRX1
KAF7199140.1	G4P62_004929	ENSG00000108786	HSD17B1
KAF7199141.1	G4P62_002695	ENSG00000119969	HELLS
KAF7199142.1	G4P62_002696	ENSG00000183128	CALHM3
KAF7199143.1	G4P62_002283	ENSG00000180423	HARBI1
KAF7199144.1	G4P62_019502	ENSG00000135842	NIBAN1
KAF7199145.1	G4P62_014475	ENSG00000177272	KCNA3
KAF7199147.1	G4P62_003178	ENSG00000179115	FARSA
KAF7199148.1	G4P62_016490	ENSG00000277585	MUC4
KAF7199149.1	G4P62_019521	ENSG00000241839	PLEKHO2
KAF7199150.1	G4P62_019521	ENSG00000241839	PLEKHO2
KAF7199151.1	G4P62_019522	ENSG00000105171	POP4
KAF7199152.1	G4P62_019764	ENSG00000183034	OTOP2
KAF7199153.1	G4P62_019800	ENSG00000214717	ZBED1
