Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
Heart_1_CKDL190139952-1a-D701-AK1680_H3WF3BBXX_L4	12135200.0	202.0	5171207.0	42.61	199.51	2232037.0	1988953.0	2208199.0	21139.0	1240.0	1459.0	0.5	0.01	1.67	0.01	1.28	6370735.0	52.5	4.0	0.0	0.0	4.8	0.09	0	582335	10919
Heart_20_CKDL190139952-1a-D705-AK1780_H3WF3BBXX_L4	14972695.0	245.0	6287404.0	41.99	234.93	3023484.0	2673974.0	2993831.0	26317.0	1514.0	1822.0	0.43	0.01	1.66	0.01	1.31	8200242.0	54.77	5.0	0.0	0.0	3.16	0.07	0	474532	10512
Heart_2_CKDL190139952-1a-D702-AK1680_H3WF3BBXX_L4	16648594.0	200.0	7348212.0	44.14	196.15	3182007.0	2832222.0	3147374.0	30850.0	1610.0	2173.0	0.48	0.01	1.66	0.01	1.29	8523192.0	51.19	9.0	0.0	0.0	4.59	0.08	0	763867	13314
Heart_3_CKDL190139952-1a-DY0088-AK1680_H3WF3BBXX_L4	14646958.0	206.0	6485905.0	44.28	202.59	2882731.0	2576020.0	2851247.0	28381.0	1494.0	1609.0	0.48	0.01	1.66	0.01	1.28	7400377.0	50.53	8.0	0.0	0.0	5.1	0.09	0	747477	13191
Heart_4_CKDL190139952-1a-D704-AK1680_H3WF3BBXX_L4	15272379.0	197.0	6999393.0	45.83	195.88	2960337.0	2649054.0	2926487.0	30393.0	1518.0	1939.0	0.48	0.01	1.63	0.01	1.27	7457556.0	48.83	1.0	0.0	0.0	5.25	0.09	0	801686	13743
Heart_5_CKDL190139952-1a-D705-AK1680_H3WF3BBXX_L4	14434908.0	196.0	7676705.0	53.18	195.04	2987371.0	2654657.0	2953925.0	29771.0	1616.0	2059.0	0.48	0.01	1.65	0.01	1.27	5911399.0	40.95	4.0	0.0	0.0	5.73	0.14	0	826604	20196
Heart_6_CKDL190139952-1a-D701-AK1681_H3WF3BBXX_L4	14656901.0	192.0	6342071.0	43.27	188.02	2411149.0	2132367.0	2383446.0	24822.0	1411.0	1470.0	0.49	0.01	1.64	0.01	1.28	7378899.0	50.34	4.0	0.0	0.0	6.19	0.19	0	908055	27872
Heart_7_CKDL190139952-1a-D702-AK1681_H3WF3BBXX_L4	16705638.0	202.0	6696059.0	40.08	199.19	2816806.0	2490738.0	2786419.0	27261.0	1386.0	1740.0	0.48	0.01	1.65	0.01	1.28	9064343.0	54.26	8.0	0.0	0.0	5.58	0.08	0	931868	13360
Heart_8_CKDL190139952-1a-DY0088-AK1681_H3WF3BBXX_L4	15885550.0	209.0	7367042.0	46.38	206.39	3242898.0	2886934.0	3208633.0	30593.0	1726.0	1946.0	0.46	0.01	1.65	0.01	1.27	7822521.0	49.24	7.0	0.0	0.0	4.31	0.07	0	684857	11123
Heart_9_CKDL190139952-1a-D704-AK1681_H3WF3BBXX_L4	20436316.0	259.0	8991490.0	44.0	253.64	4818168.0	4252037.0	4771216.0	42084.0	2399.0	2469.0	0.38	0.01	1.67	0.01	1.3	10809461.0	52.89	1.0	0.0	0.0	3.05	0.06	0	623106	12258
brain_10_CKDL190139954-1a-D705-AK1681_H3WF3BBXX_L6	11404406.0	249.0	6233169.0	54.66	244.11	2321210.0	2091107.0	2294982.0	21989.0	1863.0	2376.0	0.44	0.02	1.67	0.01	1.27	4750942.0	41.66	4.0	0.0	0.0	3.58	0.1	0	408870	11421
brain_11_CKDL190139954-1a-D701-AK1682_H3WF3BBXX_L6	10650004.0	244.0	5372905.0	50.45	239.98	1890374.0	1698365.0	1869649.0	17439.0	1472.0	1814.0	0.44	0.02	1.69	0.01	1.29	4920474.0	46.2	7.0	0.0	0.0	3.24	0.11	0	344908	11710
brain_12_CKDL190139954-1a-D702-AK1682_H3WF3BBXX_L6	11756149.0	239.0	6144409.0	52.27	235.38	2090217.0	1877252.0	2067291.0	19053.0	1691.0	2182.0	0.45	0.02	1.67	0.01	1.26	5200048.0	44.23	4.0	0.0	0.0	3.39	0.12	0	397613	14075
brain_13_CKDL190139954-1a-DY0088-AK1682_H3WF3BBXX_L6	11114969.0	226.0	6035940.0	54.3	222.37	1869435.0	1674310.0	1847678.0	18395.0	1401.0	1961.0	0.47	0.02	1.69	0.01	1.27	4620770.0	41.57	5.0	0.0	0.0	4.0	0.12	0	444907	13347
brain_14_CKDL190139954-1a-D704-AK1682_H3WF3BBXX_L6	11430514.0	216.0	6323395.0	55.32	213.94	2009315.0	1802473.0	1986038.0	19668.0	1459.0	2150.0	0.47	0.02	1.66	0.01	1.27	4561701.0	39.91	10.0	0.0	0.0	4.65	0.12	0	531687	13721
brain_15_CKDL190139954-1a-D705-AK1682_H3WF3BBXX_L6	10260297.0	242.0	5859179.0	57.11	237.34	1906847.0	1706347.0	1885213.0	18083.0	1493.0	2058.0	0.45	0.02	1.66	0.01	1.26	3931701.0	38.32	6.0	0.0	0.0	4.44	0.13	0	456058	13353
brain_16_CKDL190139954-1a-D701-AK1780_H3WF3BBXX_L6	10282303.0	229.0	5802702.0	56.43	223.32	1699424.0	1516737.0	1679726.0	16190.0	1451.0	2057.0	0.49	0.01	1.67	0.01	1.28	3905345.0	37.98	12.0	0.0	0.0	5.39	0.2	0	553699	20545
brain_17_CKDL190139954-1a-D702-AK1780_H3WF3BBXX_L6	11865101.0	254.0	5902586.0	49.75	244.84	1891638.0	1693434.0	1870589.0	17510.0	1628.0	1911.0	0.45	0.02	1.65	0.01	1.26	5505810.0	46.4	3.0	0.0	0.0	3.74	0.11	0	443653	13049
brain_18_CKDL190139954-1a-DY0088-AK1780_H3WF3BBXX_L6	13792856.0	189.0	1942811.0	14.09	165.26	470262.0	409670.0	463180.0	6217.0	319.0	546.0	0.58	0.02	1.64	0.01	1.27	11477719.0	83.21	5.0	0.0	0.0	2.68	0.02	0	369563	2758
brain_19_CKDL190139954-1a-D704-AK1780_H3WF3BBXX_L6	13587761.0	215.0	1840608.0	13.55	194.38	524718.0	463499.0	517857.0	5993.0	386.0	482.0	0.52	0.02	1.62	0.01	1.25	11510632.0	84.71	1.0	0.0	0.0	1.72	0.02	0	233801	2719
brain_1_CKDL190139954-1a-D701-AK1680_H3WF3BBXX_L6	67760082.0	193.0	35421034.0	52.27	190.44	10766334.0	9656531.0	10634529.0	111639.0	8359.0	11807.0	0.51	0.01	1.65	0.01	1.26	28927580.0	42.69	42.0	0.0	0.0	4.92	0.11	0	3336822	74604
brain_20_CKDL190139954-1a-D705-AK1780_H3WF3BBXX_L6	11833822.0	222.0	1456473.0	12.31	199.91	442719.0	389893.0	437042.0	4947.0	301.0	429.0	0.53	0.02	1.62	0.01	1.27	10182595.0	86.05	3.0	0.0	0.0	1.63	0.02	0	192390	2361
brain_2_CKDL190139954-1a-D702-AK1680_H3WF3BBXX_L6	53631714.0	230.0	27917546.0	52.05	227.22	9924198.0	8908928.0	9810751.0	96563.0	7135.0	9749.0	0.46	0.01	1.66	0.01	1.25	23886517.0	44.54	33.0	0.0	0.0	3.31	0.09	0	1779240	48378
brain_3_CKDL190139954-1a-DY0088-AK1680_H3WF3BBXX_L6	11130040.0	223.0	5727348.0	51.46	219.65	2060539.0	1849134.0	2035473.0	21399.0	1616.0	2051.0	0.47	0.01	1.65	0.01	1.25	4965669.0	44.62	1.0	0.0	0.0	3.83	0.1	0	425902	11120
brain_4_CKDL190139954-1a-D704-AK1680_H3WF3BBXX_L6	12301745.0	205.0	7148367.0	58.11	202.86	2303375.0	2075627.0	2276039.0	23063.0	1880.0	2393.0	0.48	0.01	1.64	0.01	1.25	4582850.0	37.25	5.0	0.0	0.0	4.53	0.11	0	556998	13525
brain_5_CKDL190139954-1a-D705-AK1680_H3WF3BBXX_L6	8665940.0	199.0	4485690.0	51.76	197.68	1411334.0	1266849.0	1394280.0	14555.0	1050.0	1449.0	0.49	0.01	1.65	0.01	1.25	3772259.0	43.53	6.0	0.0	0.0	4.6	0.11	0	398457	9528
brain_6_CKDL190139954-1a-D701-AK1681_H3WF3BBXX_L6	10945078.0	241.0	5163227.0	47.17	235.82	2079843.0	1877486.0	2057040.0	19694.0	1332.0	1777.0	0.44	0.01	1.67	0.01	1.27	5444845.0	49.75	2.0	0.0	0.0	2.99	0.09	0	327156	9848
brain_7_CKDL190139954-1a-D702-AK1681_H3WF3BBXX_L6	12172390.0	231.0	7057079.0	57.98	228.04	2459840.0	2206428.0	2431231.0	23939.0	2033.0	2637.0	0.46	0.01	1.66	0.01	1.26	4591929.0	37.72	11.0	0.0	0.0	4.18	0.12	0	508765	14606
brain_8_CKDL190139954-1a-DY0088-AK1681_H3WF3BBXX_L6	11072738.0	226.0	6264365.0	56.57	224.89	2150599.0	1935091.0	2125710.0	21169.0	1571.0	2149.0	0.45	0.01	1.66	0.01	1.25	4399353.0	39.73	3.0	0.0	0.0	3.6	0.09	0	399041	9976
brain_9_CKDL190139954-1a-D704-AK1681_H3WF3BBXX_L6	13721674.0	209.0	7266975.0	52.96	204.55	2316031.0	2086451.0	2287998.0	23661.0	1944.0	2428.0	0.48	0.01	1.63	0.01	1.25	5893095.0	42.95	6.0	0.0	0.0	3.99	0.1	0	547867	13731
muscle_10_CKDL190139953-1a-D708-AK1545_H3WF3BBXX_L5	16361338.0	262.0	7095730.0	43.37	257.71	4898986.0	4448405.0	4853318.0	42578.0	1297.0	1793.0	0.38	0.01	1.57	0.01	1.22	8973739.0	54.85	3.0	0.0	0.0	1.75	0.03	0	286947	4919
muscle_11_CKDL190139953-1a-D709-AK1545_H3WF3BBXX_L5	14892476.0	260.0	7028529.0	47.2	258.67	5510953.0	5023759.0	5461436.0	46474.0	1193.0	1850.0	0.36	0.01	1.59	0.01	1.23	7576137.0	50.87	3.0	0.0	0.0	1.9	0.03	0	283333	4474
muscle_12_CKDL190139953-1a-D710-AK1545_H3WF3BBXX_L5	20243196.0	260.0	9217261.0	45.53	255.97	6751897.0	6141058.0	6691701.0	56272.0	1578.0	2346.0	0.39	0.01	1.57	0.01	1.21	10613641.0	52.43	2.0	0.0	0.0	2.0	0.03	0	406199	6093
muscle_13_CKDL190139953-1a-D711-AK1545_H3WF3BBXX_L5	15115040.0	262.0	6684609.0	44.22	257.27	5344204.0	4867560.0	5298831.0	42655.0	1049.0	1669.0	0.36	0.01	1.58	0.01	1.23	8162135.0	54.0	0.0	0.0	0.0	1.75	0.03	0	263774	4522
muscle_14_CKDL190139953-1a-D712-AK1545_H3WF3BBXX_L5	19096610.0	272.0	8518882.0	44.61	269.43	6580474.0	5952930.0	6519634.0	56955.0	1636.0	2249.0	0.36	0.01	1.56	0.01	1.22	10243435.0	53.64	3.0	0.0	0.0	1.71	0.04	0	326649	7641
muscle_15_CKDL190139953-1a-D708-AK1546_H3WF3BBXX_L5	17441733.0	232.0	7721757.0	44.27	224.44	5502936.0	5019419.0	5455938.0	44376.0	1027.0	1595.0	0.4	0.01	1.53	0.01	1.2	9305242.0	53.35	0.0	0.0	0.0	2.34	0.04	0	407764	6970
muscle_16_CKDL190139953-1a-D709-AK1546_H3WF3BBXX_L5	16492899.0	265.0	8171935.0	49.55	259.0	6626309.0	5995598.0	6567311.0	55604.0	1241.0	2153.0	0.35	0.01	1.55	0.01	1.23	8034676.0	48.72	2.0	0.0	0.0	1.7	0.03	0	281322	4964
muscle_17_CKDL190139953-1a-D710-AK1546_H3WF3BBXX_L5	13942588.0	249.0	7149167.0	51.28	243.71	5876271.0	5346245.0	5822315.0	51393.0	976.0	1587.0	0.38	0.01	1.54	0.01	1.26	6530172.0	46.84	1.0	0.0	0.0	1.86	0.03	0	259069	4179
muscle_18_CKDL190139953-1a-D711-AK1546_H3WF3BBXX_L5	18680506.0	264.0	9216814.0	49.34	259.56	7396228.0	6720850.0	7324575.0	67927.0	1509.0	2217.0	0.36	0.01	1.59	0.01	1.23	9139776.0	48.93	0.0	0.0	0.0	1.7	0.03	0	318299	5617
muscle_19_CKDL190139953-1a-D712-AK1546_H3WF3BBXX_L5	16757398.0	260.0	8360229.0	49.89	253.7	6442422.0	5874769.0	6385708.0	53652.0	1105.0	1957.0	0.36	0.01	1.56	0.01	1.22	8085902.0	48.25	2.0	0.0	0.0	1.82	0.04	0	304571	6694
muscle_1_CKDL190139953-1a-D708-AK1543_H3WF3BBXX_L5	23177246.0	267.0	10606962.0	45.76	262.39	9780981.0	8852406.0	9685823.0	90585.0	1506.0	3067.0	0.34	0.01	1.55	0.01	1.26	12193379.0	52.61	2.0	0.0	0.0	1.6	0.03	0	369966	6937
muscle_2_CKDL190139953-1a-D709-AK1543_H3WF3BBXX_L5	17889814.0	266.0	8109095.0	45.33	260.01	7319321.0	6657124.0	7241973.0	73820.0	1297.0	2231.0	0.35	0.01	1.55	0.01	1.25	9495274.0	53.08	2.0	0.0	0.0	1.57	0.03	0	280091	5352
muscle_3_CKDL190139953-1a-D710-AK1543_H3WF3BBXX_L5	20030027.0	263.0	9325834.0	46.56	256.65	7883701.0	7224305.0	7806956.0	72874.0	1391.0	2480.0	0.37	0.01	1.58	0.01	1.23	10316557.0	51.51	1.0	0.0	0.0	1.91	0.03	0	381641	5994
muscle_4_CKDL190139953-1a-D711-AK1543_H3WF3BBXX_L5	20081812.0	268.0	8867329.0	44.16	261.49	8230136.0	7462123.0	8150890.0	75903.0	1248.0	2095.0	0.34	0.01	1.53	0.01	1.26	10859311.0	54.08	0.0	0.0	0.0	1.74	0.03	0	349152	6020
muscle_5_CKDL190139953-1a-D712-AK1543_H3WF3BBXX_L5	17072911.0	259.0	7378945.0	43.22	251.51	5594299.0	5109539.0	5537071.0	53499.0	1201.0	2528.0	0.38	0.02	1.61	0.01	1.25	9334103.0	54.67	4.0	0.0	0.0	2.07	0.04	0	353037	6822
muscle_6_CKDL190139953-1a-D708-AK1544_H3WF3BBXX_L5	8340450.0	241.0	4909685.0	58.87	240.08	3923688.0	3534473.0	3885012.0	36511.0	538.0	1627.0	0.39	0.01	1.57	0.01	1.27	3154340.0	37.82	2.0	0.0	0.0	3.24	0.07	0	270577	5846
muscle_7_CKDL190139953-1a-D710-AK1544_H3WF3BBXX_L5	19841434.0	252.0	8467801.0	42.68	244.51	6651332.0	6060270.0	6582366.0	65598.0	1040.0	2328.0	0.39	0.01	1.52	0.01	1.24	10964881.0	55.26	1.0	0.0	0.0	2.03	0.03	0	402798	5953
muscle_8_CKDL190139953-1a-D711-AK1544_H3WF3BBXX_L5	17832504.0	259.0	7263435.0	40.73	251.3	5971755.0	5448966.0	5912250.0	56488.0	1059.0	1958.0	0.37	0.01	1.55	0.01	1.23	10231334.0	57.37	0.0	0.0	0.0	1.86	0.03	0	332374	5361
muscle_9_CKDL190139953-1a-D712-AK1544_H3WF3BBXX_L5	22668533.0	267.0	9195169.0	40.56	260.49	7869525.0	7196755.0	7793471.0	71325.0	1426.0	3303.0	0.35	0.01	1.54	0.01	1.22	13083634.0	57.72	1.0	0.0	0.0	1.69	0.03	0	382931	6798
spleen_10_CKDL190139955-1a-D708-AK1545_H3WF3BBXX_L7	18868659.0	289.0	13424695.0	71.15	285.43	7811856.0	7178961.0	7728020.0	74562.0	4821.0	4453.0	0.29	0.01	1.91	0.01	1.35	4955938.0	26.27	1.0	0.0	0.0	2.52	0.06	0	476676	11349
spleen_11_CKDL190139955-1a-D709-AK1545_H3WF3BBXX_L7	21231182.0	289.0	15142080.0	71.32	286.11	9129205.0	8415838.0	9034461.0	83860.0	6004.0	4880.0	0.28	0.01	1.83	0.01	1.35	5518857.0	25.99	2.0	0.0	0.0	2.62	0.07	0	555404	14839
spleen_12_CKDL190139955-1a-D710-AK1545_H3WF3BBXX_L7	21382662.0	289.0	13910862.0	65.06	284.78	8482124.0	7795723.0	8397034.0	74473.0	5347.0	5270.0	0.33	0.01	1.77	0.01	1.27	6854064.0	32.05	1.0	0.0	0.0	2.81	0.08	0	600635	17100
spleen_13_CKDL190139955-1a-D711-AK1545_H3WF3BBXX_L7	17250230.0	290.0	12378108.0	71.76	286.51	6809476.0	6250298.0	6733973.0	66807.0	4248.0	4448.0	0.29	0.01	1.85	0.01	1.34	4400387.0	25.51	1.0	0.0	0.0	2.66	0.08	0	457961	13773
spleen_14_CKDL190139955-1a-D712-AK1545_H3WF3BBXX_L7	18701303.0	291.0	12897545.0	68.97	287.21	7662249.0	7054299.0	7578518.0	74124.0	4959.0	4648.0	0.29	0.01	1.84	0.01	1.34	5277663.0	28.22	2.0	0.0	0.0	2.74	0.07	0	512987	13106
spleen_15_CKDL190139955-1a-D708-AK1546_H3WF3BBXX_L7	16268671.0	287.0	10559992.0	64.91	284.08	6113080.0	5627255.0	6048080.0	57094.0	4010.0	3896.0	0.29	0.01	1.86	0.01	1.32	5317442.0	32.69	2.0	0.0	0.0	2.33	0.07	0	379824	11411
spleen_16_CKDL190139955-1a-D709-AK1546_H3WF3BBXX_L7	15932520.0	285.0	10257904.0	64.38	281.79	6074441.0	5577232.0	6011991.0	54528.0	3951.0	3971.0	0.3	0.01	1.84	0.01	1.33	5254036.0	32.98	1.0	0.0	0.0	2.58	0.06	0	411020	9559
spleen_17_CKDL190139955-1a-D710-AK1546_H3WF3BBXX_L7	28192356.0	282.0	17535188.0	62.2	277.86	10304647.0	9460531.0	10199764.0	90945.0	7187.0	6751.0	0.3	0.01	1.76	0.01	1.29	9952090.0	35.3	3.0	0.0	0.0	2.43	0.07	0	685333	19742
spleen_18_CKDL190139955-1a-D711-AK1546_H3WF3BBXX_L7	14863993.0	289.0	9595152.0	64.55	285.98	5481479.0	5032995.0	5424759.0	49946.0	3302.0	3472.0	0.29	0.01	1.81	0.01	1.32	4946807.0	33.28	0.0	0.0	0.0	2.11	0.06	0	313130	8904
spleen_19_CKDL190139955-1a-D712-AK1546_H3WF3BBXX_L7	23804201.0	248.0	15578294.0	65.44	245.79	8106354.0	7444307.0	8013344.0	82327.0	4712.0	5971.0	0.31	0.01	1.71	0.01	1.32	7489552.0	31.46	2.0	0.0	0.0	3.03	0.06	0	722055	14298
spleen_1_CKDL190139955-1a-D708-AK1543_H3WF3BBXX_L7	19840193.0	269.0	7863507.0	39.63	263.47	5612584.0	5196121.0	5568250.0	39714.0	2136.0	2484.0	0.34	0.01	1.83	0.01	1.3	11457354.0	57.75	3.0	0.0	0.0	2.57	0.05	0	509418	9911
spleen_2_CKDL190139955-1a-D709-AK1543_H3WF3BBXX_L7	16011138.0	281.0	10435252.0	65.17	277.38	7737410.0	7123758.0	7655291.0	71324.0	5723.0	5072.0	0.31	0.01	1.84	0.01	1.45	5164155.0	32.25	4.0	0.0	0.0	2.51	0.06	0	402115	9612
spleen_3_CKDL190139955-1a-D710-AK1543_H3WF3BBXX_L7	13160356.0	281.0	10034041.0	76.24	278.07	5625625.0	5203266.0	5555521.0	63909.0	3125.0	3070.0	0.29	0.01	1.83	0.01	1.36	2731574.0	20.76	1.0	0.0	0.0	2.92	0.08	0	384214	10526
spleen_4_CKDL190139955-1a-D711-AK1543_H3WF3BBXX_L7	17264368.0	276.0	9093074.0	52.67	274.05	6386882.0	5922973.0	6332439.0	47130.0	3388.0	3925.0	0.33	0.01	1.77	0.01	1.29	7600360.0	44.02	1.0	0.0	0.0	3.26	0.05	0	562309	8624
spleen_5_CKDL190139955-1a-D712-AK1543_H3WF3BBXX_L7	13623465.0	281.0	10277169.0	75.44	279.9	5706519.0	5262474.0	5644039.0	54210.0	4427.0	3843.0	0.29	0.01	1.86	0.01	1.38	2948483.0	21.64	2.0	0.0	0.0	2.85	0.07	0	388274	9537
spleen_6_CKDL190139955-1a-D708-AK1544_H3WF3BBXX_L7	15076713.0	282.0	7806450.0	51.78	281.14	4870547.0	4524196.0	4828188.0	39260.0	1666.0	1433.0	0.3	0.01	1.78	0.01	1.36	6943027.0	46.05	0.0	0.0	0.0	2.13	0.04	0	321204	6032
spleen_7_CKDL190139955-1a-D709-AK1544_H3WF3BBXX_L7	15710414.0	285.0	12111528.0	77.09	281.89	6700572.0	6197499.0	6623998.0	67777.0	4302.0	4495.0	0.29	0.01	1.82	0.01	1.35	3142825.0	20.0	2.0	0.0	0.0	2.82	0.09	0	441954	14105
spleen_8_CKDL190139955-1a-D711-AK1544_H3WF3BBXX_L7	19249775.0	291.0	10391142.0	53.98	287.19	7898757.0	7397581.0	7833293.0	57962.0	3549.0	3953.0	0.28	0.01	1.8	0.01	1.28	8478201.0	44.04	1.0	0.0	0.0	1.93	0.05	0	370824	9607
spleen_9_CKDL190139955-1a-D712-AK1544_H3WF3BBXX_L7	13527279.0	287.0	10195598.0	75.37	283.59	5737241.0	5303437.0	5669900.0	60022.0	3418.0	3901.0	0.27	0.01	1.79	0.01	1.31	2918352.0	21.57	2.0	0.0	0.0	2.99	0.07	0	403872	9455
